Sl No,Factors,1997-98 (After  bifurcation w.e.f. 15-08-97),2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
VII,Working Results,,,,,,,,,,
1,Traffic Revenue  (Rs. in Lakhs.),,,,,,,,,,
a,Through Sale of Tickets,,113371.82,106769.85,109928.00,121350.16,122498.91,45162.00,61381.71,108722.40,168753.14
b,Monthly pass,,47655.64,45574.44,43355.00,41415.03,32043.31,13774.00,17827.38,31263.00,18313.80
c,Daily pass,,20422.87,15654.61,15322.00,12293.81,10895.77,6095.00,7666.39,11280.51,8561.96
d,Student pass,,4542.76,4321.65,3599.00,3634.01,3672.06,1718.00,2670.70,3110.06,1605.95
e,Others,,5809.53,4726.60,4266.60,5191.03,10040.36,3227.42,2702.96,7808.67,5185.86
,Total,10662.17,191802.62,177047.15,176470.60,183884.04,180700.00,69976.42,92249.14,162184.64,202420.71
2,Other Revenue ( Rs. in lakhs),,,,,,,,,,
a,Government Reimbursement,910.00,19520.97,21095.39,25828.00,18875.04,18175.00,99939.00,103794.56,112369.32,40754.57
b,Advertisements,20.94,1209.67,1399.63,2079.38,2406.83,2461.82,1109.68,1412.96,2204.18,1796.40
c,Rent from Commercial outlets,18.28,5755.08,5941.03,6574.89,7010.60,6723.73,6803.40,7194.42,9687.07,10051.23
d,Sale of scrap materials,22.89,320.84,247.22,287.94,484.24,299.32,217.62,252.40,187.91,383.34
e,Sale of scrap vehicles,53.74,126.72,168.34,282.70,343.07,759.98,739.40,1102.43,1031.22,682.68
f,Others,73.46,2012.49,4711.65,11176.00,16325.73,2877.15,6520.38,5506.44,6102.02,5285.58
,Total,1099.31,28945.77,33563.26,46228.91,45445.51,31297.00,115329.48,119263.23,131581.72,58959.27
3,Gross Revenue (Rs.in lakhs),11761.48,220748.39,210610.41,222699.51,229329.55,211997.00,185305.90,211512.37,293766.36,261379.98
4,EPKM on Traffic Revenue ,1160.0,4291.1,4210.2,4237.5,4427.9,4444.7,3258.5,3713.4,4404.9,5070.1
,(in paise),,,,,,,,,,
,% Growth,,1.3,-1.9,0.6,4.5,0.4,-26.7,14.0,18.6,15.1
5,EPKM on Gross Revenue ,1279.6,4938.6,5008.3,5347.5,5522.2,5214.5,8628.8,8514.2,7978.6,6546.9
,(in paise),,,,,,,,,,
,% Growth,,3,1.4,6.8,3.3,-5.6,65.5,-1.3,-6.3,-17.9
6,Total Cost of operations ,12543.22,219375.73,236701.42,244461.00,264278.29,266931.00,201725.88,229336.91,301504.06,318925.04
,(Rs in lakhs),,,,,,,,,,
,% Increase,,-5.5,7.9,3.3,8.1,1,-24.4,13.7,31.5,5.8
7,CPKM (in paise),1364.6,4907.9,5628.8,5870.1,6363.8,6565.8,9393.4,9231.7,8188.8,7988.3
,% Increase,,-0.5,14.7,4.3,8.4,3.2,43.1,-1.7,-11.3,-2.4
8,Margin on Traffic Revenue ,-1881.05,(-)27573.11,(-)59654.27,(-)67990.40,(-)80394.25,(-)86231.00,(-)131749.46,(-)137087.77,(-)139319.42,(-)116504.33
,(Rs in lakhs),,,,,,,,,,
9,Margin on Gross Revenue ,-781.74,(+)1372.66,(-)26091.01,(-)21761.49,(-)34948.74,(-)54934.00,(-)16419.98,(-)17824.54,(-)7737.70,(-)57545.06
,(Rs in lakhs),,,,,,,,,,
10,Margin on Traffic Revenue ,-204.6,(-)616.9,(-)1418.6,(-)1632.6,(-)1935.9,(-)2121.0,(-)6135.1,(-)5518.3,(-)3783.9,(-)2918.1
,(in paise),,,,,,,,,,
11,Margin on Gross Revenue ,-85,(+)30.7,(-)620.5,(-)522.5,(-)841.6,(-)1351.2,(-)764.6,(-)717.5,(-)210.2,(-)1441.4
,(in paise),,,,,,,,,,
